


####### t-projections #######

A_I sin(2\phi): 0.0299991568802	0.0335880425177  (dstat.)	0.009816  (dsyst.)	0.0349930058179 (dtotal) 
A_DVCS sin(\phi): 0.0493114110717	0.0337797776224  (dstat.)	0.0043  (dsyst.)	0.0340523622707 (dtotal) 

Avg Bin Kinematics:	 t=0.127	 x=0.121	 q=3.13
Acos(0\phi): -0.0102739033124	0.00702756303297  (dstat.)	0.009025  (dsyst.)	0.011438411917 (dtotal) 
Acos(1\phi): 0.0361258256391	0.00996927430345  (dstat.)	0.007326  (dsyst.)	0.0123716088742 (dtotal) 
Acos(2\phi): -0.00427737744716	0.00976596541959  (dstat.)	0.004491  (dsyst.)	0.0107491005008 (dtotal) 
Acos(3\phi): 0.0050352610668	0.00969734448062  (dstat.)	0.008503  (dsyst.)	0.0128972671127 (dtotal) 
A_I sin(1\phi): -0.255761255591	0.0379075108581  (dstat.)	0.029914  (dsyst.)	0.0482889922804 (dtotal) 
A_I sin(2\phi): -0.0306173290052	0.0381398431638  (dstat.)	0.007511  (dsyst.)	0.0388723906849 (dtotal) 
A_DVCS sin(\phi): 0.0197821051008	0.0380232275454  (dstat.)	0.003873  (dsyst.)	0.0382199681053 (dtotal) 

Avg Bin Kinematics:	 t=0.195	 x=0.2	 q=5.13
Acos(0\phi): 0.00952509561175	0.0095117079236  (dstat.)	0.010598  (dsyst.)	0.0142404421148 (dtotal) 
Acos(1\phi): 0.0474304824971	0.0135090068194  (dstat.)	0.01065  (dsyst.)	0.0172022023371 (dtotal) 
Acos(2\phi): 0.0276605776891	0.0132292334987  (dstat.)	0.012017  (dsyst.)	0.017872350376 (dtotal) 
Acos(3\phi): -0.0164203304752	0.0129515386075  (dstat.)	0.002053  (dsyst.)	0.0131132437369 (dtotal) 
A_I sin(1\phi): -0.125832486669	0.0514703667738  (dstat.)	0.00778  (dsyst.)	0.052055038717 (dtotal) 
A_I sin(2\phi): -0.0488434040843	0.0497194042546  (dstat.)	0.005647  (dsyst.)	0.0500390624256 (dtotal) 
A_DVCS sin(\phi): -0.0558536160095	0.051668829834  (dstat.)	0.01877  (dsyst.)	0.0549725465702 (dtotal) 



####### Q2-projections #######

Avg Bin Kinematics:	 t=0.076	 x=0.056	 q=1.25
Acos(0\phi): -0.0413161838089	0.00614488781079  (dstat.)	0.025487  (dsyst.)	0.0262172999221 (dtotal) 
Acos(1\phi): 0.0280013008807	0.00859740675837  (dstat.)	0.029143  (dsyst.)	0.0303846976613 (dtotal) 
Acos(2\phi): -0.0101666184711	0.00850789616644  (dstat.)	0.01222  (dsyst.)	0.014890020053 (dtotal) 
Acos(3\phi): -0.00191003139451	0.00848937620408  (dstat.)	0.005023  (dsyst.)	0.00986407812897 (dtotal) 
